Generation,ALLC,ALLD,TFT,GRIM,PAVLOV,PROBER
0,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
1,0.1575,0.1355,0.1824,0.1831,0.1824,0.1591
2,0.1521,0.1045,0.1993,0.2009,0.1993,0.1439
3,0.1496,0.0762,0.2165,0.2190,0.2165,0.1223
4,0.1492,0.0526,0.2327,0.2360,0.2327,0.0969
5,0.1499,0.0345,0.2467,0.2508,0.2467,0.0715
6,0.1509,0.0216,0.2578,0.2625,0.2578,0.0494
7,0.1520,0.0130,0.2659,0.2710,0.2659,0.0323
8,0.1528,0.0077,0.2713,0.2767,0.2713,0.0203
9,0.1534,0.0044,0.2748,0.2804,0.2748,0.0123
10,0.1537,0.0025,0.2769,0.2826,0.2769,0.0074
11,0.1539,0.0014,0.2782,0.2839,0.2782,0.0044
12,0.1541,0.0008,0.2789,0.2847,0.2789,0.0026
13,0.1541,0.0005,0.2794,0.2852,0.2794,0.0015
14,0.1542,0.0003,0.2796,0.2855,0.2796,0.0009
15,0.1542,0.0001,0.2798,0.2856,0.2798,0.0005
16,0.1542,0.0001,0.2798,0.2857,0.2798,0.0003
17,0.1542,0.0000,0.2799,0.2858,0.2799,0.0002
18,0.1542,0.0000,0.2799,0.2858,0.2799,0.0001
19,0.1542,0.0000,0.2799,0.2858,0.2799,0.0001
20,0.1542,0.0000,0.2799,0.2858,0.2799,0.0000
21,0.1542,0.0000,0.2799,0.2858,0.2799,0.0000
22,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
23,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
24,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
25,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
26,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
27,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
28,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
29,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
30,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
31,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
32,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
33,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
34,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
35,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
36,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
37,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
38,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
39,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
40,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
41,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
42,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
43,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
44,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
45,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
46,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
47,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
48,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
49,0.1542,0.0000,0.2800,0.2858,0.2800,0.0000
