Generation,ALLC,ALLD,TFT,GRIM,PAVLOV,PROBER
0,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
1,0.1470,0.1747,0.1729,0.1664,0.1639,0.1751
2,0.1300,0.1766,0.1795,0.1647,0.1581,0.1911
3,0.1081,0.1848,0.1834,0.1619,0.1585,0.2034
4,0.0947,0.1801,0.1840,0.1638,0.1684,0.2090
5,0.0815,0.1803,0.1764,0.1669,0.1683,0.2266
6,0.0730,0.1759,0.1758,0.1638,0.1749,0.2366
7,0.0594,0.1788,0.1757,0.1613,0.1776,0.2471
8,0.0513,0.1754,0.1813,0.1630,0.1741,0.2549
9,0.0423,0.1657,0.1953,0.1531,0.1834,0.2602
10,0.0348,0.1566,0.1901,0.1478,0.1981,0.2726
11,0.0293,0.1425,0.1944,0.1349,0.2041,0.2947
12,0.0249,0.1358,0.1943,0.1270,0.2101,0.3079
13,0.0255,0.1391,0.1841,0.1253,0.2125,0.3134
14,0.0235,0.1364,0.1840,0.1184,0.2033,0.3344
15,0.0191,0.1241,0.1759,0.1092,0.2179,0.3539
16,0.0158,0.1190,0.1807,0.1083,0.2190,0.3572
17,0.0138,0.1131,0.1888,0.0978,0.2015,0.3850
18,0.0112,0.1014,0.1993,0.0906,0.2006,0.3969
19,0.0089,0.0903,0.1980,0.0882,0.1972,0.4173
20,0.0074,0.0822,0.1911,0.0815,0.1873,0.4504
21,0.0069,0.0833,0.1892,0.0731,0.1825,0.4651
22,0.0054,0.0771,0.1983,0.0687,0.1826,0.4679
23,0.0043,0.0682,0.2210,0.0652,0.1720,0.4694
24,0.0033,0.0601,0.2113,0.0577,0.1546,0.5131
25,0.0028,0.0582,0.2031,0.0522,0.1496,0.5341
26,0.0025,0.0551,0.1811,0.0457,0.1513,0.5643
27,0.0023,0.0527,0.1849,0.0384,0.1418,0.5799
28,0.0019,0.0505,0.1930,0.0331,0.1283,0.5932
29,0.0014,0.0434,0.1623,0.0268,0.1073,0.6588
30,0.0009,0.0411,0.1378,0.0233,0.1013,0.6957
31,0.0005,0.0357,0.1238,0.0195,0.0962,0.7243
32,0.0003,0.0350,0.1195,0.0181,0.0832,0.7439
33,0.0002,0.0315,0.1031,0.0145,0.0666,0.7841
34,0.0001,0.0308,0.0984,0.0140,0.0751,0.7816
35,0.0001,0.0300,0.0906,0.0120,0.0665,0.8008
36,0.0000,0.0327,0.0765,0.0099,0.0612,0.8197
37,0.0000,0.0289,0.0563,0.0075,0.0443,0.8629
38,0.0000,0.0258,0.0397,0.0055,0.0380,0.8909
39,0.0000,0.0228,0.0297,0.0043,0.0306,0.9126
40,0.0000,0.0179,0.0203,0.0031,0.0273,0.9314
41,0.0000,0.0174,0.0179,0.0026,0.0207,0.9415
42,0.0000,0.0141,0.0140,0.0018,0.0126,0.9575
43,0.0000,0.0121,0.0087,0.0012,0.0101,0.9678
44,0.0000,0.0118,0.0067,0.0010,0.0082,0.9724
45,0.0000,0.0096,0.0055,0.0007,0.0069,0.9773
46,0.0000,0.0077,0.0034,0.0005,0.0056,0.9829
47,0.0000,0.0065,0.0026,0.0003,0.0032,0.9874
48,0.0000,0.0060,0.0019,0.0002,0.0022,0.9897
49,0.0000,0.0043,0.0014,0.0001,0.0016,0.9926
