Epsilon,Strategy,Mean,StdDev,CI_Lower,CI_Upper
0.00,CTFT,150.00,0.00,150.00,150.00
0.00,GRIM,150.00,0.00,150.00,150.00
0.00,PAVLOV,150.00,0.00,150.00,150.00
0.00,TFT,150.00,0.00,150.00,150.00
0.05,CTFT,130.05,26.93,118.25,141.85
0.05,GRIM,94.95,19.75,86.30,103.60
0.05,PAVLOV,112.55,30.10,99.36,125.74
0.05,TFT,127.25,24.00,116.73,137.77
0.10,CTFT,110.75,27.50,98.70,122.80
0.10,GRIM,90.55,14.95,84.00,97.10
0.10,PAVLOV,115.85,32.18,101.75,129.95
0.10,TFT,111.30,25.91,99.94,122.66
0.15,CTFT,113.60,29.39,100.72,126.48
0.15,GRIM,93.30,13.79,87.26,99.34
0.15,PAVLOV,107.25,24.65,96.45,118.05
0.15,TFT,112.05,28.15,99.71,124.39
0.20,CTFT,110.35,22.47,100.50,120.20
0.20,GRIM,98.80,17.78,91.01,106.59
0.20,PAVLOV,108.15,24.30,97.50,118.80
0.20,TFT,107.80,22.17,98.08,117.52
