Epsilon,Strategy,Mean,StdDev,CI_Lower,CI_Upper
0.00,CTFT,30.00,0.00,30.00,30.00
0.00,GRIM,30.00,0.00,30.00,30.00
0.00,PAVLOV,30.00,0.00,30.00,30.00
0.00,TFT,30.00,0.00,30.00,30.00
0.05,CTFT,22.00,6.32,17.62,26.38
0.05,GRIM,18.25,5.20,14.64,21.86
0.05,PAVLOV,26.25,5.75,22.26,30.24
0.05,TFT,25.38,6.12,21.14,29.61
0.10,CTFT,26.50,3.38,24.16,28.84
0.10,GRIM,28.25,3.49,25.83,30.67
0.10,PAVLOV,27.00,4.07,24.18,29.82
0.10,TFT,22.38,5.29,18.71,26.04
0.15,CTFT,28.88,1.46,27.86,29.89
0.15,GRIM,28.62,2.26,27.06,30.19
0.15,PAVLOV,25.50,5.73,21.53,29.47
0.15,TFT,25.50,5.73,21.53,29.47
0.20,CTFT,17.88,4.22,14.95,20.80
0.20,GRIM,27.75,5.20,24.14,31.36
0.20,PAVLOV,18.00,6.50,13.49,22.51
0.20,TFT,22.50,5.93,18.39,26.61
